id,age,annual_income,monthly_debt,credit_score,num_credit_lines,employment_years,loan_amount,loan_term_months,num_late_payments,savings_balance,education,home_status,loan_purpose,region,noise_num_1,noise_num_2,noise_cat_1,noise_num_3,noise_num_4,default
0,26,83677,749.4,612,1,11.5,19332,24,,1396.59,Bachelor,Mortgage,Medical,South,-1.52130825,1.691475974,A,23,433.6950704,0
1,47,47343,2282.05,777,3,,19643,84,1,3818.96,Master,Other,Other,West,0.785393071,-0.119489208,C,72,1134.861903,0
2,22,91314,726.8,466,2,3.6,18430,48,1,,Bachelor,Rent,Debt Consolidation,Central,-0.601013428,-0.251427652,C,26,219.7845867,0
3,40,76019,2161.66,712,1,1.2,9972,24,0,4986.13,Bachelor,Rent,Other,East,1.371962201,1.29418886,B,1,346.3653708,0
4,34,,1718.92,,3,3.3,5632,84,,594.34,Master,Mortgage,Home Improvement,North,-0.917902142,-0.750701479,C,70,169.5887695,0
5,38,,1365.6,627,4,1.7,22554,24,3,,High School,Mortgage,Debt Consolidation,West,-0.06581042,-2.236246061,C,17,203.6495118,1
6,49,,658.44,670,7,1,28075,12,0,,None,Mortgage,Home Improvement,East,-1.38075962,0.222654454,A,62,65.07740099,0
7,47,22774,1192.14,,5,4,27024,24,,81188.44,High School,Mortgage,Debt Consolidation,East,-2.202398505,-1.630330918,A,79,167.0567445,0
8,39,45666,2598.33,,4,6.6,30705,24,,1521.02,Bachelor,Rent,Home Improvement,West,-0.132144935,0.028437561,D,26,50.07573698,0
9,44,64585,2250.22,634,7,23.7,5403,84,0,2407.88,Bachelor,Rent,Debt Consolidation,Central,0.394548396,0.29705797,D,97,777.0297335,0
10,28,,810.49,576,3,,14590,36,0,2321.21,PhD,Rent,Medical,East,0.17263871,-1.364840629,C,22,45.43614812,0
11,49,79023,428.38,510,4,4.7,10253,60,1,4819.62,Master,Own,Home Improvement,West,0.186604339,-0.562520577,B,35,65.54032286,0
12,37,41381,1295.74,633,8,6.1,15740,84,0,1646.87,High School,Mortgage,Medical,North,0.40476106,0.791920536,D,69,66.18802364,0
13,30,53417,1668.43,708,7,5.8,15639,24,0,1812.27,Bachelor,Rent,Debt Consolidation,South,2.305730776,-0.234159008,B,48,161.5085652,0
14,53,414081,4073.26,,6,1.2,7244,12,1,6917.81,High School,Rent,Debt Consolidation,West,-0.445523122,-1.873519504,C,45,42.09662288,0
15,33,61913,409.9,635,4,19.3,19671,24,1,,None,Rent,Business,South,1.405602242,-0.697124926,C,35,31.50666109,0
16,44,96688,849.82,770,5,13.4,18093,12,0,46920.89,None,Mortgage,Debt Consolidation,East,-0.912484912,-2.718401358,B,59,97.48032566,0
17,42,67799,1974.59,597,7,0.1,19701,24,1,5558.7,High School,Own,Business,West,2.379591023,-0.81528429,C,21,132.6347935,0
18,43,43029,1491.39,620,1,2.7,17294,36,1,,Bachelor,Mortgage,Debt Consolidation,West,0.486139157,-0.276227785,B,2,95.64548589,0
19,33,110307,2714.43,661,6,23,7040,12,0,4401.66,Bachelor,Rent,Debt Consolidation,East,-1.121025009,1.459618668,C,37,179.9703371,0
20,28,96390,1069.64,850,3,2.7,5448,36,2,4075.86,Master,Mortgage,Home Improvement,East,0.743795453,-0.134116902,C,48,316.9047869,0
21,28,,1145.59,802,4,1,12022,12,0,45197.72,Bachelor,Own,Education,Central,-0.527537335,0.789583395,B,54,234.1126034,0
22,45,107235,1445.34,625,8,0.5,17364,84,1,4181.14,None,Own,Business,North,2.662331881,-0.714493205,B,44,59.89294841,0
23,30,95977,746.91,627,3,,18385,48,,1590.17,High School,Rent,Medical,South,0.183226904,-0.567796167,B,19,72.10637961,0
24,39,47882,1684.58,850,4,,4428,24,,2482.27,Master,Own,Education,West,-0.498924939,-0.991917797,A,46,204.0938389,0
25,41,102513,1035.09,623,4,11.9,49877,36,0,9622.33,Master,Mortgage,Other,Central,-1.20410649,0.753644242,C,91,362.9227732,0
26,41,73628,1370.37,,5,5.6,100000,24,0,32459.32,High School,Rent,Business,West,-1.038181549,-0.360240428,A,55,94.54052338,0
27,46,89969,580.15,687,4,2.7,16689,48,0,769.59,Master,Own,Other,North,0.213688626,0.416454115,A,44,369.0901048,0
28,39,144075,3404.33,,4,12.5,24611,24,,60130.25,Bachelor,Own,Debt Consolidation,Central,-1.361367918,-0.493172065,B,40,44.5241693,0
29,21,,1273.95,,4,7.2,18673,12,1,200000,None,Mortgage,Business,West,0.799119089,-1.052115203,B,14,62.27978824,0
30,34,118553,424.55,485,3,10.6,5064,48,1,,High School,Mortgage,Debt Consolidation,South,-0.247013187,-0.244901316,D,85,26.86363147,1
31,28,,671.47,840,7,,21676,84,0,6284.37,High School,Mortgage,Medical,Central,-0.620360566,0.495029876,B,80,396.6851609,0
32,50,,381.93,819,3,8.4,16121,24,1,,High School,Rent,Education,North,-0.110608089,-0.349325797,D,79,804.1972449,0
33,18,52128,6833.29,752,5,0.1,54294,48,,5337.68,Master,Rent,Home Improvement,North,-1.37046435,1.212086694,B,39,62.64609415,0
34,45,57520,2516.15,,5,,18302,48,0,16929.77,Bachelor,Own,Business,East,-0.349485055,1.144991803,C,18,83.75518905,0
35,48,166056,1254.21,607,1,6.5,4475,48,0,,Bachelor,Rent,Other,Central,-1.428876707,-0.429035041,C,61,110.6248043,0
36,34,63440,8762.42,672,3,2.4,13285,36,2,25099.6,High School,Own,Home Improvement,East,-1.620423152,-0.16394965,D,62,230.8146037,0
37,32,,1071.81,680,5,2.9,6901,12,,,High School,Other,Business,North,0.551027634,1.363442419,A,6,607.7310849,0
38,23,64604,1086.89,699,3,4.8,14148,48,0,3673.31,High School,Mortgage,Education,West,-0.950114077,0.436402542,A,17,256.2850292,0
39,24,149181,857.6,719,4,,12880,48,0,25690.67,High School,Own,Education,West,0.602247257,-1.717513524,B,17,46.70266933,0
40,27,,1672.49,662,2,6.1,12348,48,3,,High School,Mortgage,Other,West,-0.52984566,0.26647815,A,31,137.9226975,1
41,44,53425,2819.01,603,3,1.6,15540,24,1,569.17,Bachelor,Rent,Debt Consolidation,South,0.581051668,0.04228204,D,48,426.6791126,0
42,33,,497.42,,3,1.2,8980,48,,4373.68,Bachelor,Rent,Debt Consolidation,East,-0.392639072,-0.513790524,C,64,847.6004391,0
43,46,22397,875.07,850,5,6.5,15397,36,0,,Bachelor,Own,Other,South,0.825926852,-0.469096769,C,3,67.90914004,0
44,43,15810,1194.62,754,1,1.5,19449,84,0,3026.35,High School,Mortgage,Business,Central,-0.009672806,0.129319076,B,88,159.1554309,1
45,30,65248,1142.54,674,10,2.9,15152,84,1,,Master,Mortgage,Home Improvement,Central,-0.083740542,-1.224935355,A,17,123.9908914,0
46,34,70161,824.29,496,11,,30972,60,,1129.83,Master,Rent,Debt Consolidation,North,0.373206133,-0.983099748,D,18,707.9929479,0
47,24,28410,4799.94,624,0,3.5,37109,60,2,1505.83,High School,Rent,Medical,West,1.112450522,0.144127782,A,25,42.59609747,0
48,44,89641,3270.84,640,4,8.9,14622,24,0,14542.34,Bachelor,Rent,Debt Consolidation,West,-0.491555988,0.684969542,B,46,84.36446369,0
49,32,74912,1724.22,734,4,15.5,23464,24,1,3179.8,None,Other,Education,Central,0.178019577,0.021047343,D,14,79.21448592,0
50,38,49236,886.09,818,3,1.8,5043,36,0,,PhD,Mortgage,Medical,West,-0.779324517,-0.772641768,A,16,54.03235224,0
51,44,44618,4141.35,757,4,12.2,20193,12,,1475.42,Master,Mortgage,Medical,Central,-0.111551809,0.523304542,D,14,153.0613575,0
52,43,33207,1668.6,659,1,7.1,9752,60,,,High School,Mortgage,Debt Consolidation,West,0.228838556,-0.069065391,B,21,331.5053413,0
53,46,55011,1166.32,669,4,0.7,30068,24,3,4519.63,Bachelor,Rent,Home Improvement,South,0.408014468,-1.419277337,C,17,36.6582763,0
54,37,129359,551.87,,2,4.5,23675,24,2,3050.93,High School,Mortgage,Business,West,2.133707299,-0.567188464,D,91,45.03453456,0
55,33,97024,2542.83,,2,1.3,11582,48,,2174.57,Bachelor,Rent,Other,Central,0.262464716,-0.580834809,A,17,55.39351644,0
56,37,,1380.53,752,2,11.4,27917,48,0,,High School,Mortgage,Business,Central,0.803277794,-0.087039494,B,32,45.99593219,0
57,18,67722,2094.62,537,3,8,16062,36,,,High School,Rent,Other,East,0.341134273,1.008365877,B,30,108.214821,0
58,21,,1963.28,503,0,,15068,36,1,15445.8,Master,Rent,Other,North,0.098001861,1.543549659,D,46,45.29699577,0
59,22,75966,2722.58,697,8,0.6,17230,36,0,32812.52,High School,Rent,Home Improvement,North,0.309498487,1.941822261,B,25,375.5315381,0
60,27,291106,2573.14,764,5,7.3,27471,84,1,,Bachelor,Mortgage,Debt Consolidation,East,-0.140709419,-0.903230043,B,11,67.34696973,0
61,33,34822,3395.78,558,6,7.8,9290,24,0,,Bachelor,Mortgage,Debt Consolidation,South,0.229651528,0.671204434,C,40,978.5874399,0
62,54,283136,5152.24,802,6,,25617,24,0,67.34,None,Rent,Debt Consolidation,East,0.775452608,-0.029971031,A,6,59.505033,0
63,47,31264,3802.07,734,1,5.8,4637,12,1,7442.51,High School,Rent,Other,West,0.970305206,-0.769385141,D,14,224.9301422,0
64,27,65893,1154.63,659,2,3.6,40402,36,,6229.9,Bachelor,Mortgage,Education,West,0.476373812,0.159049256,C,70,201.6924448,0
65,18,63479,2049.84,,4,0.5,8645,36,0,2356.77,Master,Mortgage,Education,South,0.836156541,0.573601137,B,58,162.85803,0
66,41,,1687.7,529,2,,6560,36,1,1831.39,None,Mortgage,Medical,East,0.868989978,0.171501839,D,92,141.3189089,0
67,21,24915,3972.25,631,2,6.4,74977,48,1,382.1,High School,Own,Other,North,0.718212488,-1.770141271,B,69,299.7428487,1
68,39,,1676.65,577,7,2.5,21820,36,0,27883.68,Master,Rent,Business,East,-0.770473503,-1.412243171,A,70,119.3508984,0
69,32,46923,394.38,715,4,0.6,4275,48,0,,High School,Rent,Medical,East,0.024081001,-0.230231314,B,96,323.0521389,0
70,41,36336,3357.38,592,3,1.3,7684,84,0,,High School,Mortgage,Debt Consolidation,West,-0.758058437,-0.986878271,D,85,221.2302338,0
71,35,15000,1041.32,728,3,5.9,3636,48,1,,High School,Other,Debt Consolidation,East,-1.377800465,0.194895231,C,42,197.7691327,0
72,40,,1043.41,490,4,,6528,84,1,7406,Bachelor,Rent,Medical,Central,-2.520455453,-0.175328466,D,52,10.22207163,0
73,54,17565,497.46,,3,,59951,12,0,1658.27,Bachelor,Own,Business,East,1.274030533,-0.395953723,D,8,270.9661053,0
74,48,156120,2433.51,671,7,0.2,18900,60,0,9045.27,None,Mortgage,Home Improvement,East,-1.054859342,-1.084235014,B,10,237.0740808,0
75,56,49602,4451.92,646,3,0.4,6128,48,0,4225.08,Bachelor,Own,Medical,East,-0.548694662,-0.355815696,A,41,60.55661112,0
76,24,182983,2953.87,616,6,1.6,25175,48,0,744.81,Bachelor,Mortgage,Debt Consolidation,Central,0.167510875,-0.217737321,B,34,67.22600953,0
77,30,,1089.92,,3,3.1,16274,24,0,6635.54,Master,Rent,Debt Consolidation,West,1.210111537,0.736221645,D,90,101.3915171,0
78,33,24150,1017.54,615,9,0.6,2154,60,1,641.57,Bachelor,Rent,Other,Central,-1.511923996,1.51544707,C,55,102.969615,0
79,21,,4754.59,723,6,3.5,23775,12,0,2702.91,Bachelor,Mortgage,Business,North,-0.810372312,-1.409390357,D,81,95.81415651,0
80,46,70987,2221.76,746,3,,4548,12,0,,Bachelor,Rent,Debt Consolidation,Central,0.194486226,0.891370335,B,29,89.28768784,0
81,42,74769,623.83,696,5,13.6,6801,12,1,5649.76,Bachelor,Rent,Debt Consolidation,North,0.100318528,0.05520702,D,76,1112.09186,0
82,48,88748,3479.49,790,6,3.8,30038,60,1,,Bachelor,Own,Other,West,1.614097,-0.638696609,D,59,481.4843551,0
83,62,,805.29,720,4,3.3,31860,48,0,1920.4,High School,Rent,Education,Central,-1.073870579,-0.5370787,B,56,154.2671319,0
84,73,38407,453.92,681,5,1.5,12289,48,,6966.06,Master,Rent,Education,South,-0.087334908,0.423688639,A,12,337.6588618,0
85,26,30780,1987.08,530,5,0.3,3786,24,0,26961.17,Bachelor,Own,Business,South,-0.111902942,0.717861255,D,44,374.0916877,0
86,41,26219,488.35,559,5,12,17093,48,0,2382.48,Master,Mortgage,Other,South,-0.150052972,0.433453686,D,98,349.0964009,0
87,33,42422,3361.74,722,5,2.7,28511,12,,61129.97,High School,Own,Debt Consolidation,North,-0.484315984,1.082292626,C,14,75.1994557,0
88,31,36514,1572.61,652,6,0.2,24787,48,1,1211.28,Bachelor,Rent,Education,South,-1.520858208,-0.905838957,C,3,245.7988297,0
89,40,159000,2612.35,774,2,2.1,6478,84,0,230.25,High School,Mortgage,Debt Consolidation,West,-1.558720599,-1.097547239,A,24,332.5930845,0
90,36,,396.88,635,0,0.5,11837,36,1,8536.11,High School,Mortgage,Medical,South,0.709051156,1.383722731,D,55,102.5063812,0
91,26,59753,807.44,755,5,,33318,84,0,1782.21,High School,Rent,Debt Consolidation,West,0.047374964,0.512990261,B,12,538.1761116,0
92,32,110701,1915.38,660,1,1.3,19105,12,0,1946.18,Bachelor,Mortgage,Medical,East,0.054561419,-1.186797684,C,24,399.1085474,0
93,37,54192,1921.41,691,8,5,23723,48,0,2403.15,Master,Mortgage,Business,South,0.441117526,-0.434351471,B,19,119.1654309,0
94,59,37559,1010.14,631,5,0.6,12244,60,1,8264.72,Bachelor,Other,Business,West,-0.639258337,-0.320061633,B,45,151.4806419,0
95,32,15000,5161.23,,4,4.6,10402,60,1,18478.18,High School,Mortgage,Medical,Central,-0.281675111,0.038349252,D,68,163.6407878,1
96,24,29896,3159.11,495,3,9.9,6692,48,0,,Bachelor,Mortgage,Business,Central,0.328428588,1.211701781,D,92,54.35175001,0
97,64,220397,1721.13,707,4,6.7,50824,60,0,,Bachelor,Mortgage,Business,Central,-0.248855774,1.794678393,B,74,156.5336652,0
98,48,,669.24,671,3,8,67507,24,0,,High School,Mortgage,Medical,East,-0.224979799,0.520781407,A,96,1011.026052,0
